Bola1;Bola2;Bola3;Bola4;Bola5
5;13;26;54;67
15;24;30;57;67
5;20;27;70;80
2;39;41;51;73
19;52;57;74;79
6;35;50;57;58
27;33;37;53;60
20;22;38;45;53
23;30;36;39;40
20;30;34;35;65
31;38;43;44;79
15;30;31;49;52
12;27;46;48;79
10;21;52;58;64
35;64;66;70;79
13;33;60;75;76
2;52;53;70;77
3;50;66;67;70
13;32;53;60;69
8;38;39;46;76
23;42;50;61;80
12;14;16;43;44
12;25;27;34;76
13;19;34;54;73
13;35;48;49;53
21;32;48;54;61
12;51;54;60;61
18;44;66;74;75
19;30;40;60;75
7;16;49;52;73
18;47;70;74;80
1;13;31;49;56
21;29;40;62;73
8;19;30;33;49
15;52;61;67;68
9;48;51;65;80
12;30;44;50;79
5;33;43;53;67
9;18;29;69;80
10;37;41;47;78
4;8;18;19;31
19;31;35;60;79
6;9;49;57;77
7;10;59;65;79
18;28;30;45;70
18;21;32;38;54
24;57;67;69;77
30;49;56;57;74
12;22;27;28;77
3;11;32;37;53
12;16;49;56;67
4;18;27;38;47
8;14;28;63;64
10;15;17;63;67
31;33;48;68;80
22;25;45;56;72
3;5;26;38;62
19;20;25;52;55
27;37;56;66;68
3;11;52;56;59
14;25;32;53;67
16;40;55;64;70
3;24;53;56;63
1;36;38;41;74
7;17;29;42;43
3;10;14;21;64
2;28;43;44;64
7;10;11;39;47
27;38;44;65;70
6;23;25;33;38
9;11;28;39;47
6;13;29;48;76
3;14;20;39;68
5;9;50;51;73
9;18;38;71;73
24;32;51;61;63
11;35;45;50;64
2;18;23;54;73
3;7;26;66;79
9;30;52;59;75
16;29;62;64;73
1;26;64;68;73
7;22;28;41;53
5;14;15;25;73
4;5;18;58;72
7;15;19;34;52
6;40;56;66;71
15;27;31;56;63
1;9;27;69;78
6;21;33;34;75
5;47;54;63;72
3;14;22;46;60
6;22;28;45;71
3;36;40;52;76
4;12;28;30;43
26;52;72;74;79
1;2;3;27;65
9;52;59;62;80
3;5;16;32;38
16;38;58;64;72
7;8;36;57;67
2;25;44;45;65
1;9;50;61;79
7;10;26;35;36
7;24;26;28;72
11;35;56;63;77
22;25;30;57;63
5;13;39;47;63
7;43;53;59;72
3;23;51;73;74
3;9;48;59;79
4;22;49;53;64
25;29;34;59;66
19;42;63;75;78
4;8;15;20;32
6;13;18;21;80
25;33;40;54;71
7;19;36;43;74
9;40;47;48;53
6;20;44;48;76
1;32;45;52;72
2;16;27;30;56
14;20;46;49;80
19;33;50;53;70
12;28;51;53;67
14;35;37;57;65
8;15;16;44;56
12;16;27;28;78
4;9;20;35;80
19;30;47;54;55
15;46;55;59;69
10;36;48;71;77
27;45;46;61;75
6;7;39;41;62
17;22;39;58;75
3;17;21;25;39
15;30;43;56;58
46;57;62;76;80
7;31;42;46;56
37;40;51;64;74
7;21;23;29;52
3;29;65;69;79
13;15;48;49;80
35;49;56;75;76
3;20;40;57;60
19;22;35;44;45
1;5;14;24;25
10;25;31;32;54
12;19;44;68;75
3;16;36;55;62
18;28;45;52;59
5;6;17;23;45
7;11;34;47;74
5;23;47;50;61
4;17;18;27;56
21;30;54;66;72
11;16;23;32;59
10;35;39;57;70
9;18;20;53;70
7;10;29;37;63
12;19;22;31;42
5;44;59;74;79
6;33;49;74;75
15;20;28;31;53
18;22;30;47;52
14;20;28;43;48
10;17;34;51;63
9;14;32;41;79
8;14;33;37;73
8;23;32;40;44
3;17;29;61;75
24;33;41;69;74
13;18;39;65;71
22;32;37;47;51
16;34;41;51;54
9;38;52;62;78
1;22;33;42;52
21;25;33;37;55
7;23;46;63;67
19;32;37;44;69
2;23;40;43;66
1;21;33;46;76
12;32;38;64;79
28;49;58;63;76
25;49;70;76;78
4;31;38;47;78
22;23;26;45;63
1;21;28;70;79
16;22;42;51;57
1;11;23;53;67
7;17;40;58;73
8;10;11;14;50
35;49;54;64;68
1;11;25;33;79
10;17;18;24;40
9;25;33;53;68
1;17;34;40;46
26;33;44;50;79
44;45;46;49;67
13;32;42;59;69
7;33;38;58;76
31;44;49;70;80
46;52;56;60;65
26;34;42;64;78
7;45;56;59;61
29;53;58;61;68
17;20;21;42;48
8;20;59;61;66
34;50;60;71;73
1;25;36;50;62
11;32;40;43;57
9;15;23;41;67
7;49;51;64;69
17;35;55;62;77
5;14;39;57;72
15;56;63;65;76
10;20;36;58;60
2;9;41;53;60
12;27;28;34;49
2;15;22;25;74
3;8;36;44;63
19;43;52;59;74
24;31;39;60;72
29;38;71;73;78
11;23;33;52;70
23;27;40;72;73
3;27;47;66;76
7;8;10;45;46
3;13;48;55;68
11;21;31;40;41
12;27;40;58;67
41;62;70;79;80
3;25;44;60;69
9;24;39;49;64
42;45;53;70;73
12;29;33;62;74
7;19;22;40;73
34;36;51;69;70
10;12;37;38;65
8;28;70;77;78
15;16;27;50;64
34;44;55;60;63
4;11;38;39;51
2;16;31;55;61
8;18;30;34;76
12;63;65;74;77
10;49;53;57;62
12;25;31;48;79
2;6;50;56;80
14;37;58;70;79
17;19;48;50;66
4;9;20;31;38
13;38;40;64;71
26;33;48;58;77
35;36;50;63;71
15;24;53;65;66
33;40;51;59;79
24;25;35;37;70
9;44;53;73;76
4;30;46;52;71
18;46;49;61;76
33;58;64;69;78
6;16;37;52;71
1;13;17;25;73
13;26;33;39;56
41;44;47;63;69
2;14;22;35;66
16;24;37;41;69
17;44;51;61;63
13;24;29;38;43
28;43;63;65;69
19;28;31;53;66
1;2;10;19;60
8;25;51;58;75
2;25;36;42;59
21;57;65;79;80
9;19;40;54;73
3;23;55;57;78
15;27;42;60;63
36;37;51;54;67
27;33;56;57;73
1;52;53;57;80
5;8;11;12;62
5;26;39;51;53
28;31;34;39;70
13;14;32;54;60
12;18;41;62;67
7;12;23;38;39
13;48;71;73;75
23;32;38;49;74
8;43;49;54;71
13;16;23;40;49
22;32;37;46;70
1;7;14;43;68
5;32;34;47;78
9;24;49;70;72
5;14;65;71;73
12;20;64;69;77
8;42;45;47;63
2;43;56;59;60
14;18;31;78;79
2;4;45;46;51
3;19;34;43;61
25;38;54;61;71
8;11;25;48;61
3;9;42;53;69
7;10;28;62;78
16;32;59;73;76
7;8;13;49;65
29;57;59;77;79
14;17;43;44;57
22;43;44;64;68
2;18;33;56;79
1;4;59;74;80
4;11;36;58;75
10;22;40;55;79
15;52;62;65;72
11;43;70;77;80
4;19;58;67;79
24;37;49;54;57
35;39;40;42;71
16;32;38;45;71
27;43;45;64;67
18;34;37;40;55
8;37;56;58;63
19;38;41;53;78
6;18;34;37;57
19;34;54;61;63
22;26;29;47;60
11;38;50;61;80
15;30;39;67;73
5;29;44;66;72
14;17;60;64;69
4;21;56;63;67
9;32;61;64;75
8;22;25;43;46
12;18;52;63;75
18;25;26;47;70
4;9;28;33;38
17;28;30;31;69
15;19;55;59;74
15;46;49;61;64
1;23;31;41;60
8;28;34;60;65
26;64;69;71;76
13;31;52;63;76
7;8;13;18;24
21;24;38;73;79
18;22;61;68;72
2;11;42;54;61
14;29;60;61;62
18;35;48;63;65
33;39;65;66;71
11;14;20;24;70
24;30;31;41;58
2;17;50;61;70
7;40;53;54;77
10;14;48;49;73
7;30;60;66;77
28;41;55;56;75
16;26;56;72;80
13;15;25;42;77
3;25;31;44;64
25;31;53;66;80
6;7;31;52;78
6;38;50;66;69
4;7;14;34;73
1;9;14;31;70
14;19;37;46;61
2;54;58;76;79
15;38;39;48;79
11;18;34;39;55
12;27;52;57;69
12;29;44;67;80
13;28;44;45;66
25;33;45;66;79
3;25;28;51;70
29;32;42;52;59
8;26;38;46;74
13;22;41;42;71
36;39;42;61;68
5;16;24;61;65
31;37;38;49;67
31;61;65;77;80
12;13;21;53;77
2;42;51;53;59
11;18;43;72;73
7;23;65;71;74
9;19;28;46;76
18;32;34;48;65
2;11;42;60;62
19;35;42;54;65
11;32;43;58;61
7;11;31;76;78
7;48;53;62;74
9;18;30;54;75
25;30;34;49;66
11;32;38;43;80
25;26;53;55;73
9;10;67;74;76
34;39;41;46;68
1;25;35;43;48
7;68;72;75;77
27;35;41;58;59
10;27;45;69;71
1;16;25;27;37
6;28;29;39;50
5;13;46;47;70
43;59;69;75;77
11;16;41;67;77
7;18;30;41;69
6;23;43;65;70
21;39;76;77;80
46;50;62;69;70
2;12;35;55;56
12;23;32;43;59
8;50;59;72;75
15;20;40;71;72
23;47;56;77;78
8;16;28;63;70
34;38;41;56;62
30;41;47;71;78
15;33;40;57;60
7;26;44;71;80
26;29;34;43;79
1;15;39;41;55
5;54;57;67;75
14;36;42;67;80
4;13;30;49;63
3;38;56;64;66
6;38;41;75;80
7;11;66;74;77
11;16;20;62;75
1;6;9;49;75
8;23;46;47;59
4;10;14;41;45
12;14;26;66;68
15;18;19;70;79
7;34;60;61;66
4;19;30;39;62
9;25;40;41;61
4;20;42;58;66
9;24;34;52;55
30;59;68;72;75
15;17;44;52;69
19;32;49;56;73
46;54;58;59;70
10;24;48;57;77
16;38;39;44;71
6;31;39;46;52
9;29;35;55;70
31;38;39;51;54
11;13;24;64;69
19;27;35;49;78
11;14;32;38;41
3;9;54;56;61
2;5;13;39;55
2;38;74;76;77
19;28;44;46;54
3;5;13;37;45
24;37;40;44;59
5;27;28;35;40
18;22;31;45;79
15;31;36;47;76
3;7;21;41;67
4;13;18;46;47
14;20;34;73;75
5;7;13;66;79
10;13;36;38;50
16;34;49;58;59
14;26;51;62;77
30;39;56;70;72
8;39;59;77;78
17;26;28;36;55
41;49;52;56;74
24;41;51;60;73
14;33;34;55;78
8;22;28;52;58
42;49;51;57;64
42;49;55;61;69
19;20;22;33;39
24;29;32;50;74
1;9;23;50;73
8;16;37;64;79
7;19;31;45;55
4;18;25;57;74
4;14;23;45;70
7;11;25;50;67
11;32;55;67;76
7;13;19;27;61
12;46;50;52;68
6;10;28;47;55
33;36;49;65;78
8;13;40;72;77
5;13;14;36;69
4;9;64;74;75
1;12;20;24;62
2;16;36;39;52
18;36;49;56;79
2;15;30;61;78
40;46;50;73;79
15;38;48;54;70
3;22;28;35;45
5;28;52;55;69
32;41;47;61;77
20;31;61;76;79
2;45;59;73;78
6;27;51;70;79
2;21;44;46;69
14;29;41;63;65
36;40;46;51;78
32;50;59;77;79
7;34;53;61;77
1;15;33;48;61
40;46;59;72;73
41;45;50;59;68
26;35;71;73;80
20;42;45;49;64
29;40;50;63;67
10;23;39;49;55
6;19;28;44;79
16;23;24;37;79
21;34;41;71;75
20;45;52;57;74
3;11;14;16;22
5;21;43;58;74
14;17;19;36;37
2;5;18;45;70
33;51;56;66;67
22;44;73;75;76
15;23;25;48;49
20;32;38;40;72
36;48;61;62;79
7;11;47;54;61
16;25;49;50;80
13;31;51;56;69
22;25;47;51;74
28;45;55;71;80
28;36;38;53;57
10;39;43;59;71
8;30;34;37;44
9;19;49;53;64
17;37;51;55;61
6;11;41;43;53
3;31;50;65;70
17;32;53;75;78
17;28;35;38;56
6;19;34;42;52
22;42;61;64;72
2;16;44;58;64
18;27;46;61;71
27;36;53;54;69
4;12;24;39;69
4;41;48;55;59
27;46;51;57;67
16;18;31;56;74
16;24;32;33;61
1;26;31;37;49
3;4;34;47;65
19;36;44;60;70
3;17;30;52;64
6;27;46;54;59
12;19;56;72;76
2;3;22;61;69
3;12;14;64;73
1;5;52;54;64
5;17;20;54;78
16;40;48;58;66
2;35;36;53;59
25;27;32;68;80
1;6;21;31;49
3;9;13;19;43
3;15;36;43;47
3;12;44;46;49
14;23;34;54;69
3;39;47;54;63
16;30;39;56;76
26;28;52;58;79
17;32;49;51;67
2;38;42;44;59
11;25;36;59;73
17;20;41;52;70
10;12;13;35;74
8;18;43;55;75
13;21;22;65;77
3;15;37;58;68
